2000/1/1,0:0:0,-45.91
2000/1/1,0:0:0,-43.20
2000/1/1,0:0:0,-45.91
2000/1/1,0:0:0,-44.50
2000/1/1,0:0:0,-43.84
2000/1/1,0:0:0,-42.58
2000/1/1,0:0:0,-43.84
2000/1/1,0:0:0,-43.84
2000/1/1,0:0:0,-43.84
2000/1/1,0:0:0,-42.58
2000/1/1,0:0:0,-42.58
2000/1/1,0:0:0,-40.85
2000/1/1,0:0:0,-40.85
2000/1/1,0:0:0,-39.28
2000/1/1,0:0:0,-39.28
2000/1/1,0:0:0,-37.83
2000/1/1,0:0:0,-37.83
2000/1/1,0:0:0,-36.48
2000/1/1,0:0:0,-36.05
2000/1/1,0:0:0,-35.64
2000/1/1,0:0:0,-34.83
2000/1/1,0:0:0,-34.44
2000/1/1,0:0:0,-33.67
2000/1/1,0:0:0,-32.94
2000/1/1,0:0:0,-32.24
2000/1/1,0:0:0,-33.30
2000/1/1,0:0:0,-32.94
2000/1/1,0:0:0,-33.30
2000/1/1,0:0:0,-32.94
2000/1/1,0:0:0,-30.89
2000/1/1,0:0:0,-30.57
2000/1/1,0:0:0,-31.22
2000/1/1,0:0:0,-29.33
2000/1/1,0:0:0,-29.94
2000/1/1,0:0:0,-29.03
2000/1/1,0:0:0,-27.88
2000/1/1,0:0:0,-27.60
2000/1/1,0:0:0,-27.06
2000/1/1,0:0:0,-26.52
2000/1/1,0:0:0,-27.33
2000/1/1,0:0:0,-26.52
2000/1/1,0:0:0,-25.00
2000/1/1,0:0:0,-24.03
2000/1/1,0:0:0,-23.80
2000/1/1,0:0:0,-22.66
2000/1/1,0:0:0,-22.22
2000/1/1,0:0:0,-22.01
2000/1/1,0:0:0,-21.58
2000/1/1,0:0:0,-20.95
2000/1/1,0:0:0,-21.79
2000/1/1,0:0:0,-22.44
2000/1/1,0:0:0,-25.00
2000/1/1,0:0:0,-27.06
2000/1/1,0:0:0,-28.16
2000/1/1,0:0:0,-29.94
2000/1/1,0:0:0,-30.89
2000/1/1,0:0:0,-33.67
2000/1/1,0:0:0,-36.92
2000/1/1,0:0:0,-37.37
2000/1/1,0:0:0,-38.30
2000/1/1,0:0:0,-37.37
2000/1/1,0:0:0,-38.78
2000/1/1,0:0:0,-39.28
2000/1/1,0:0:0,-39.28
2000/1/1,0:0:0,-39.28
2000/1/1,0:0:0,-38.78
2000/1/1,0:0:0,-37.37
2000/1/1,0:0:0,-36.92
2000/1/1,0:0:0,-36.05
2000/1/1,0:0:0,-34.44
2000/1/1,0:0:0,-32.59
2000/1/1,0:0:0,-30.89
2000/1/1,0:0:0,-29.33
2000/1/1,0:0:0,-26.79
2000/1/1,0:0:0,-25.00
2000/1/1,0:0:0,-23.57
2000/1/1,0:0:0,-21.37
2000/1/1,0:0:0,-19.94
2000/1/1,0:0:0,-18.78
2000/1/1,0:0:0,-18.03
2000/1/1,0:0:0,-16.78
2000/1/1,0:0:0,-14.27
2000/1/1,0:0:0,-12.57
2000/1/1,0:0:0,-10.96
